LOCN_ID,OBJ_ID,VER_NBR,LOCN_CD,LOCN_NAME,LEVEL_ID,PARENT_LOCN_ID
"1","ce4edd19-c272-43fc-a577-d4d927e87345",1,"DUKE","Duke University","1",NULL
"101","61DEF825-0091-473A-A9BF-F7693EEC3FC5",1,"PD","Stacks","5","12"
"102","DE8D2281-8655-42F3-B91D-4C01CCFE8FA3",1,"PD8","Loeb Classics","5","12"
"103","A8E7B805-7CDB-4F0E-86B7-17CF9A6098E3",1,"PD9","Repair Shelf","5","12"
"104","334679A7-38EF-471C-BA7A-CE34B9079CFC",1,"PDB","Baker Research Center","5","12"
"105","EE2C49D5-218E-429B-8014-E166D0F65F56",1,"PDBQ","Baker Research Center Quarto","5","12"
"106","0A54918F-2005-4879-BB37-9C6DB6456933",1,"PDC","CD-ROM","5","12"
"107","EEB28CA6-73BB-4183-8901-39A685BA83B3",1,"PDF","Stacks Folio","5","12"
"108","062B9610-E45B-4D25-9638-6A26E9C9B94E",1,"PDFF","Stacks Double Folio","5","12"
"109","D0188DFE-AD72-4D4A-A8CA-01A4561916A8",1,"PDH","Pamphlet Collection","5","12"
"11","4587044d-4d9e-4a4c-b634-b58484103b58",1,"BES","Biological and Environmental Sciences Library","3","1"
"110","7B073E37-0DC6-4C48-A29A-388772D66290",1,"PDK","Kindle Ebook Reader","5","12"
"111","4E6AA265-C113-4A0B-8810-038C892204A2",1,"PDL1","Locked Cabinet #1","5","12"
"112","215F85C1-0348-40A5-B88D-05F4F97FE4D5",1,"PDL1F","Locked Cabinet #1 Folio","5","12"
"113","53BFDE97-9EBD-4799-8AC3-98FA174BA577",1,"PDL1Q","Locked Cabinet #1 Quarto","5","12"
"114","E71DEC62-B431-47A1-9326-4AB0DE317585",1,"PDL2","Locked Cabinet #2","5","12"
"115","0F95F277-1DFC-4C5E-9CDC-C5757D699D26",1,"PDL3","Locked Cabinet #3","5","12"
"116","6082D05B-06A8-47D2-BDC0-9C8A1DFC748C",1,"PDL4","Locked Cabinet #4","5","12"
"117","9F473548-B590-4EE7-AF9B-B875828037CB",1,"PDL5","Locked Cabinet #5","5","12"
"118","93A99319-2480-4C85-BE79-1CEA0248351B",1,"PDL6","Locked Cabinet #6","5","12"
"119","713F335F-6442-4625-AB6C-AC2B9C6B29F3",1,"PDL6Q","Locked Cabinet #6 Quarto","5","12"
"12","2a522194-3877-453f-a5f4-a0672c5d440b",1,"DIVINITY","Divinity School Library","3","1"
"120","9CF818D9-7F85-4207-A48A-CF7C8348A4AE",1,"PDL7","Locked Cabinet #7","5","12"
"121","395566AD-767D-4275-9D8B-A9F43948DFAC",1,"PDL8","Locked Cabinet #8","5","12"
"122","40CAF94B-43A8-433A-9E93-8DC930E4F631",1,"PDM","Microforms","5","12"
"123","CA8FDF05-7D78-41FC-8BAC-E9A0A5682F97",1,"PDP","Periodicals","5","12"
"124","4DCB76A4-03C2-4ED4-8FD6-46278CF59EAF",1,"PDPU","Periodicals Reading Room","5","12"
"125","9CFC1142-0F39-45F7-BDB8-17B0AADBBAAA",1,"PDQ","Stacks","5","12"
"126","D8D6D12F-A0DD-4E87-9BAA-418F98A9303E",1,"PDR","Reference","5","12"
"127","D1E222D1-A07D-4F4E-BB4C-7ED0E843E256",1,"PDRC","Reference CD-ROM","5","12"
"128","BEC42803-2100-4D69-A106-21BEEE37D2FF",1,"PDRF","Reference Folio","5","12"
"129","BBF4EE15-2DCA-422F-A928-9D7F224E19DA",1,"PDRQ","Reference Quarto","5","12"
"13","2CD4E351-C585-45DD-83A7-11843DF7DCC9",1,"DKU","Duke - Kunshan Library","3","1"
"130","9F28ED47-B24C-481A-AF7E-73566EF32C3D",1,"PDRR","Ready Reference","5","12"
"131","41AA0993-ABB7-46A6-B2A9-C5D170976082",1,"PDT","Theses","5","12"
"132","6BD54AA9-3931-4E2B-A24C-302982670F62",1,"PDU","Stacks","5","12"
"133","8A6BFB19-E47E-4FB5-BDF2-437CA383E478",1,"PDUF","Stacks Folio","5","12"
"134","C4853412-3742-4AA3-B515-D98796DDF48B",1,"PDUQ","Stacks Quarto","5","12"
"135","2B466AC2-E924-4301-B628-27AE4385AACC",1,"PDV","Audio-Visual","5","12"
"136","C2B548F2-F41F-4E23-A9AF-B6B02A26EDF2",1,"PDW","New Book Shelf","5","12"
"137","9E872EF1-A29F-4AEA-9491-6436ACD6D4E0",1,"PDX","Reserve","5","12"
"138","32453EA2-92E6-4F39-8626-4D560B2D2272",1,"PDXY","Perkins Papyrology reserve","5","12"
"139","0870506F-E35C-4448-82DB-88D64F8578CE",1,"PDXYF","Perkins Papyrology reserve","5","12"
"14","8f661920-bfdd-475a-8c29-4856c02d6425",1,"FORD","Ford Library","3","1"
"140","DE728D47-BEA1-4EE4-9B27-7ABE5922C554",1,"PDXYQ","Perkins Papyrology reserve","5","12"
"141","6CE03299-58D0-45FB-98A5-195F4FE07F80",1,"PDXYU","Perkins Papyrology reserve","5","12"
"142","9083D08F-F769-4760-A93C-CB451FCDEF1E",1,"PDY","York Reading Room","5","12"
"143","E85F19B0-3B8F-4C7D-AEE4-E334B0C3CF10",1,"PDI","Divinity Stacks (III)","5","12"
"144","1ECF3290-6EBF-4BF7-85F9-DD70EED56F3C",1,"PDPI","Current Periodicals","5","12"
"145","B6A3EC47-DB62-4A88-84CF-5FDFE27F9DAE",1,"DK","Stacks","5","13"
"146","7603A77E-E73D-4824-88B1-4C06EE21ED15",1,"DKR","Reference","5","13"
"147","0CFA29A4-ED06-4B5C-A329-AA252A095C7B",1,"DKX","Reserves","5","13"
"148","4A90C22A-ECD4-4EDD-B6FD-E2A9AE36DD1C",1,"FRD","Stacks","5","14"
"149","38EBD95E-8E0B-42E7-8462-F42DE7580B6C",1,"FRD1Z","East Mezzanine","5","14"
"15","ae97962e-c125-4860-bf7a-8f55f61e551e",1,"LAW","Goodson Law Library","3","1"
"150","9C35247C-B27F-4A2C-A1D9-A3AEBE261623",1,"FRD2Z","West Mezzanine","5","14"
"151","C6E93E21-D244-4703-A16F-3C71689B82C1",1,"FRDA","Audiobooks","5","14"
"152","9D194E42-E904-401C-91E8-D9244090FA89",1,"FRDC","Cataloging Office","5","14"
"153","F8572DF5-7A1F-4464-A774-DE508EE1F64D",1,"FRDCC","Career Collection","5","14"
"154","2DDF54B3-5BC5-4FF8-8A96-EBDAB57C5696",1,"FRDCM","Computer Media","5","14"
"155","F5C416F1-861F-4FAE-AF04-00B2AC2D4683",1,"FRDCS","Collection Development Storage","5","14"
"156","B0C76FA4-5BF8-4FA3-88CD-61E8FD745EC0",1,"FRDD","DVD--Limited Circulation","5","14"
"157","F8004339-D976-419C-AD88-EAA4548E3491",1,"FRDE","Internet Resource","5","14"
"158","49B35485-B841-4B21-9E6A-C1FAFB876C3E",1,"FRDI","(III)","5","14"
"159","2158C0A2-063B-43F5-BA8D-AED4BF8E92A6",1,"FRDJI","Current International Journals","5","14"
"16","9334fabc-6e93-4e63-aa91-fbce75bda919",1,"LILLY","Lilly Library","3","1"
"160","BA91CEF3-6682-4340-9C6F-01A842BBBC4B",1,"FRDJS","Journal Stacks","5","14"
"161","A550FB6E-689E-4D31-BABD-04DA97E6B0D1",1,"FRDK1","Ebook Reader","5","14"
"162","272462BC-019D-4087-A8FB-788ED52F1105",1,"FRDK2","Ebook Reader","5","14"
"163","845AC115-C06B-44BB-A641-5C9410F222EB",1,"FRDK3","Ebook Reader","5","14"
"164","53594968-6DAC-4D74-8345-D418C12578F8",1,"FRDL","Language Instruction","5","14"
"165","A411FB1D-B974-46A5-BFB1-690161D96DC6",1,"FRDM","Microforms","5","14"
"166","888627B9-50BF-4355-84B5-2932AB0859EB",1,"FRDMI","Microforms (III)","5","14"
"167","0C3A0C07-3D3C-480E-A77D-BDC0B7A225E2",1,"FRDN","Newspapers","5","14"
"168","04032A01-DF41-4D01-BA50-340173612E59",1,"FRDOS","Library Service Center","5","14"
"169","442B2A0B-613E-4331-B449-6A059830AE38",1,"FRDP","Periodicals","5","14"
"17","43d50a1e-d872-4ca9-aa6c-5e92c0d70258",1,"LINK","The Link","3","1"
"170","17F90C67-D415-4DBC-A71A-4FE812AF084C",1,"FRDPC","Periodicals - Career","5","14"
"171","D57C3619-E478-4814-AB0D-15090D5C2891",1,"FRDPE","Periodicals - Economics","5","14"
"172","0DDD0F8D-58AC-4CA3-8C5A-63B7769C93B2",1,"FRDPF","Periodicals - Finance and Accounting","5","14"
"173","46548407-78B7-4B94-A0A4-3F5F6341CD94",1,"FRDPH","Periodicals - Health Sector Management and Operations","5","14"
"174","AD1B8F5C-F00B-45A0-8EBB-5934DC476C81",1,"FRDPI","Current Journals","5","14"
"175","5ED956F6-348F-41B8-ABFC-E7F5E6DB647F",1,"FRDPJ","International Journals","5","14"
"176","1D6D76E8-37CA-41E1-895F-3332B44B8B04",1,"FRDPL","Periodicals - Leadership and Management","5","14"
"177","2002D697-2520-45FD-B5B6-4D75196CF27F",1,"FRDPM","Periodicals - Marketing","5","14"
"178","F47EDAD2-9BC2-4F2B-916F-37DE96A1F040",1,"FRDPN","Periodicals - Newspapers","5","14"
"179","B08E066F-3DFF-45D8-8FBF-AE24938FB009",1,"FRDPR","Periodicals - Reserves","5","14"
"18","711ae4f0-8900-4cda-9099-9e92cd63585e",1,"LSC","Library Service Center","3","1"
"180","3B8039AB-BC05-4715-B866-290A1C255146",1,"FRDR","Reference","5","14"
"181","C2631276-A402-4209-8FF8-38BA9F4195BE",1,"FRDRI","Reference (III)","5","14"
"182","20C1DFD0-763D-491A-9B0A-6A0DE65F0826",1,"FRDRM","Reference Media","5","14"
"183","9C5C52BB-A351-4F9C-8D0C-E35012A41BE2",1,"FRDT","Test Preparation","5","14"
"184","F6DDD88A-89EC-4B52-B38E-326789228699",1,"FRDTX","14-Day Textbooks - Reserves","5","14"
"185","3D36CA06-C5DA-4A68-A35C-843E86D6D9E6",1,"FRDW","Window Display","5","14"
"186","EFE3537B-7476-4547-92EE-83582CF3C13F",1,"FRDX","Reserves","5","14"
"187","A10DC012-49BF-437C-80BD-CFBD2768FB07",1,"FRDXI","Reserves (III)","5","14"
"188","C8B663A3-E99D-4E69-BCC3-B99AC3970117",1,"FRDXO","Overnight Reserves","5","14"
"189","2A5471BF-46CC-4ECF-9D18-C81746DC8B0A",1,"FRDXP","24-Hour Permanent Reserves","5","14"
"19","1ccf91d4-41c8-4247-bb3f-2f2ae8ada577",1,"MARINE","Marine Lab Library","3","1"
"190","936454E0-DCF7-4031-BD30-4ACE101F4F6D",1,"LACTC","Law School Academic Technologies","5","15"
"191","C96F1DC6-7924-44D2-AA30-F9A204CF4487",1,"LARCH","Archives","5","15"
