OLE_CRCL_DSK_LOCN_ID,OLE_CRCL_DSK_ID,OLE_CRCL_DSK_LOCN,OLE_CRCL_PICKUP_DSK_LOCN
10100,9,177,NULL
10101,9,178,NULL
10102,9,179,NULL
10103,9,180,NULL
10104,9,181,NULL
10105,9,182,NULL
10106,9,183,NULL
10107,9,184,NULL
10108,9,185,NULL
10109,9,186,NULL
10110,9,187,NULL
10111,9,188,NULL
10112,9,189,NULL
10113,10,190,NULL
10114,10,191,NULL
10115,10,192,NULL
10116,10,193,NULL
10117,10,194,NULL
10118,10,195,NULL
10119,10,196,NULL
10120,10,197,NULL
10121,10,198,NULL
10122,10,199,NULL
10123,10,200,NULL
10124,10,201,NULL
10125,10,202,NULL
10126,10,203,NULL
10127,10,204,NULL
10128,10,205,NULL
10129,10,206,NULL
10130,10,207,NULL
10131,10,208,NULL
10132,10,209,NULL
10133,10,210,NULL
10134,10,211,NULL
10135,10,212,NULL
10136,10,213,NULL
10137,10,214,NULL
10138,10,215,NULL
10139,10,216,NULL
10140,10,217,NULL
10141,10,218,NULL
10142,10,219,NULL
10143,10,220,NULL
10144,10,221,NULL
10145,10,222,NULL
10146,10,223,NULL
10147,10,224,NULL
10148,10,225,NULL
10149,10,226,NULL
10150,10,227,NULL
10151,10,228,NULL
10152,10,229,NULL
10153,10,230,NULL
10154,10,231,NULL
10155,10,232,NULL
10156,10,233,NULL
10157,10,234,NULL
10158,10,235,NULL
10159,10,236,NULL
10160,10,237,NULL
10161,10,238,NULL
10162,10,239,NULL
10163,10,240,NULL
10164,10,241,NULL
10165,10,242,NULL
10166,10,243,NULL
10167,10,244,NULL
10168,10,245,NULL
10169,10,246,NULL
10170,10,247,NULL
10171,10,248,NULL
10172,10,249,NULL
10173,10,250,NULL
10174,10,251,NULL
10175,10,252,NULL
10176,10,253,NULL
10177,10,254,NULL
10178,10,255,NULL
10179,10,256,NULL
10180,10,257,NULL
10181,10,258,NULL
10182,10,259,NULL
10183,10,260,NULL
10184,10,261,NULL
10185,10,262,NULL
10186,10,263,NULL
10187,10,264,NULL
10188,10,265,NULL
10189,10,266,NULL
10190,10,267,NULL
10191,10,268,NULL
10192,10,269,NULL
10193,10,270,NULL
10194,10,271,NULL
10195,2,272,NULL
10196,2,273,NULL
10197,2,274,NULL
10198,2,275,NULL
10199,2,276,NULL
10200,2,277,NULL
10201,2,278,NULL
10202,2,279,NULL
10203,2,280,NULL
10204,2,281,NULL
10205,2,282,NULL
10206,2,283,NULL
10207,2,284,NULL
10208,2,285,NULL
10209,2,286,NULL
10210,2,287,NULL
10211,2,288,NULL
10212,2,289,NULL
10213,2,290,NULL
10214,2,291,NULL
10215,2,292,NULL
10216,2,293,NULL
10217,2,294,NULL
10218,2,295,NULL
10219,2,296,NULL
10220,2,297,NULL
10221,2,298,NULL
10222,2,299,NULL
10223,2,300,NULL
10224,2,301,NULL
10225,2,302,NULL
10226,2,303,NULL
10227,2,304,NULL
10228,2,305,NULL
10229,2,306,NULL
10230,2,307,NULL
10231,2,308,NULL
10232,2,309,NULL
10233,2,310,NULL
10234,2,311,NULL
10235,2,312,NULL
10236,2,313,NULL
10237,2,314,NULL
10238,2,315,NULL
10239,2,316,NULL
1024,4,101,NULL
10240,2,317,NULL
10241,2,318,NULL
10242,2,319,NULL
10243,2,320,NULL
10244,2,321,NULL
10245,2,322,NULL
10246,2,323,NULL
10247,2,324,NULL
10248,2,325,NULL
10249,2,326,NULL
1025,4,102,NULL
10250,2,327,NULL
10251,2,328,NULL
10252,2,329,NULL
10253,2,330,NULL
10254,11,331,NULL
10255,8,332,NULL
10256,8,333,NULL
10257,8,334,NULL
10258,8,335,NULL
10259,8,336,NULL
1026,4,103,NULL
10260,8,337,NULL
10261,8,338,NULL
10262,8,339,NULL
10263,8,340,NULL
10264,8,341,NULL
10265,8,342,NULL
10266,8,343,NULL
10267,8,344,NULL
