NOTICE_TYPE_CONFIG_ID,CIRC_POLICY_ID,NOTICE_TYPE 
1001,"CO-1DAY-DIV","NO-PS-STDLOAN"
1002,"CO-1DAY-DIV-BDPER","NO-PS-STDLOAN"
1003,"CO-1DAY-ELECTRONIC-EQUIP-PK-LIL","NO-PS-ELECTRONICEQUIP"
1004,"CO-1DAY-MARINE","NO-PS-STDLOAN"
1005,"CO-1DAY-MARINE-MICROFORM","NO-PS-STDLOAN"
1006,"CO-1DAY-MUSIC","NO-PS-STDLOAN"
1007,"CO-1DAY-PERKINS-SYS","NO-PS-SHORT-LOANS"
1008,"CO-1WK-FORD","NO-1WK-FORD"
1009,"CO-1WK-LSC-MATHJOURN","NO-PS-STDLOAN"
1010,"CO-1WK-LSC-MICROFORM","NO-PS-STDLOAN"
1011,"CO-1WK-MARINE-AV","NO-PS-STDLOAN"
1012,"CO-1WK-MARINE-AV-MAX-1","NO-PS-STDLOAN"
1013,"CO-1WK-MCL-AV","NO-MCL-2HR-AV"
1014,"CO-1WK-MUSIC","NO-PS-STDLOAN"
1015,"CO-1WK-MUSIC-SOUNDREC-AV-COMPMEDIA","NO-PS-STDLOAN"
1016,"CO-1WK-PK-LSC","NO-PS-SHORT-LOANS"
1017,"CO-24HR-FORD","NO-24HR-FORD"
1018,"CO-24HR-LAW","NO-LAW-ALL"
1019,"CO-28DAY-EREADER-FORD","NO-FORD-EREADER"
1020,"CO-28-DAYS-10-MAX-DIV","NO-PS-STDLOAN"
1021,"CO-28-DAYS-10-MAX-PS","NO-PS-STDLOAN"
1022,"CO-28-DAYS-25-MAX-DIV","NO-PS-STDLOAN"
1023,"CO-28-DAYS-25-MAX-PS","NO-PS-STDLOAN"
1024,"CO-28-DAYS-DIV","NO-PS-STDLOAN"
1025,"CO-28-DAYS-DKU","NO-PS-STDLOAN"
1026,"CO-28-DAYS-FORD","NO-FORD-STDLOAN"
1027,"CO-28-DAYS-FORD-10-MAX","NO-FORD-STDLOAN"
1028,"CO-28-DAYS-LAW","NO-LAW-ALL"
1029,"CO-28-DAYS-LILLY","NO-PS-STDLOAN"
1030,"CO-28-DAYS-LILLY-LSC-10-MAX","NO-PS-SHORT-LOANS"
1031,"CO-28-DAYS-LINK-4WK","NO-LINK-4WK"
1032,"CO-28-DAYS-LINK-DIGITALVIDKIT","NO-LINK-DIGITALVIDKIT"
1033,"CO-28-DAYS-LINK-FLIPHD","NO-LINK-FLIPHD"
1034,"CO-28-DAYS-LINK-FLIPSD","NO-LINK-FLIPSD"
1035,"CO-28-DAYS-LINK-HDDIGITALVIDKIT","NO-LINK-HDDIGITALVIDKIT"
1036,"CO-28-DAYS-LINK-HEADPHMIC","NO-LINK-HEADPHMIC"
1037,"CO-28-DAYS-LINK-IPAD","NO-LINK-IPAD"
1038,"CO-28-DAYS-LINK-SDDIGITALVIDKIT","NO-LINK-SDDIGITALVIDKIT"
1039,"CO-28-DAYS-LINK-SLIDEFLIP","NO-LINK-SLIDEFLIP"
1040,"CO-28-DAYS-LINK-TRIPOD","NO-LINK-TRIPOD"
1041,"CO-28-DAYS-LINK-USBSPPHONE","NO-LINK-USBSPPHONE"
1042,"CO-28-DAYS-LINK-WEBCAM","NO-LINK-WEBCAM"
1043,"CO-28-DAYS-LSC","NO-PS-STDLOAN"
1044,"CO-28-DAYS-LSC-COMPMEDIA","NO-PS-STDLOAN"
1045,"CO-28-DAYS-MARINE","NO-PS-STDLOAN"
1046,"CO-28-DAYS-MCL","NO-MCL-STDLOAN-4WK-8WK"
1047,"CO-28-DAYS-MCL-LSCGEN","NO-MCL-STDLOAN-4WK-8WK"
1048,"CO-28-DAYS-MCL-LSCGEN-MAX10","NO-MCL-STDLOAN-4WK-8WK"
1049,"CO-28-DAYS-MUSIC","NO-PS-STDLOAN"
1050,"CO-28-DAYS-MUSIC-SOUNDCD","NO-PS-STDLOAN"
1051,"CO-28-DAYS-PERKN","NO-PS-STDLOAN"
